data;tipo;pessoa;cargo_id;cargo;interino;fonte
2023-10-25;sabatina;Rodrigo D'araujo Gabsch;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159626
2023-10-25;sabatina;Carlos Luís Dantas Coutinho Perez;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159627
2023-10-25;sabatina;Daniela Rodrigues Teixeira;br-superior-tribunal-de-justica-ministro;Ministro do Superior Tribunal de Justiça;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159982
2023-10-25;sabatina;Teodoro Silva Santos;br-superior-tribunal-de-justica-ministro;Ministro do Superior Tribunal de Justiça;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159983
2023-10-25;sabatina;José Afrânio Vilela;br-superior-tribunal-de-justica-ministro;Ministro do Superior Tribunal de Justiça;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159985
2023-09-20;sabatina;Gustavo Rocha de Menezes;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158946
2023-09-13;sabatina;Paulo Xavier Alcoforado;br-ancine-diretor;Diretor da Ancine;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158577
2023-09-13;sabatina;Maria Edileuza Fontenele Reis;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158899
2023-09-13;sabatina;Gilberto Fonseca Guimarães de Moura;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158904
2023-09-13;sabatina;Maria Clara Duclos Carisio;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158898
2023-09-13;sabatina;Marcelo Otávio Dantas Loures da Costa;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/158945
2023-09-13;sabatina;Marcos de Brito Campos Júnior;br-dnit-dirigente;Diretor-Geral do DNIT;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/159438
