id;nome;viagens;diarias;passagens;total;exterior
br-p-dou-fernanda-mara-de-oliveira-macedo-carneiro-pacobahyba;Fernanda Mara de Oliveira Macedo Carneiro Pacobahyba;24;37102,56;153485,93;190588,49;1
br-p-denise-pires-de-carvalho;Denise Pires de Carvalho;20;23997,92;99432,46;123430,38;1
br-p-dou-olival-freire-junior;Olival Freire Júnior;27;25189,56;64230,51;89420,07;2
br-p-marcio-pochmann;Marcio Pochmann;21;16922,03;82935,51;99857,54;3
br-p-dou-luciana-mendes-santos-servo;Luciana Mendes Santos Servo;7;28068,35;17144,37;45212,72;4
br-p-dou-marco-americo-lucchesi;Marco Americo Lucchesi;9;12717,71;32839,03;45556,74;1
br-p-dou-joao-jorge-santos-rodrigues;João Jorge Santos Rodrigues;10;25758,97;61627,01;87385,98;1
br-p-dou-fernando-marcondes-de-araujo-leao;Fernando Marcondes de Araújo Leão;4;11208,12;10334,80;21542,92;0
br-p-dou-fabricio-de-oliveira-galvao;Fabricio de Oliveira Galvão;18;22357,61;74382,19;96739,80;0
br-p-dou-julio-cesar-castelo-branco-reis-moreira;Julio Cesar Castelo Branco Reis Moreira;23;15324,38;80252,41;95576,79;1
br-p-dou-marcio-andre-oliveira-brito;Marcio Andre Oliveira Brito;11;9135,02;78175,39;87310,41;0
br-p-ricardo-pena-pinheiro;Ricardo Pena Pinheiro;11;5402,88;17072,75;22475,63;0
br-p-dou-marco-antonio-chamon;Marco Antonio Chamon;6;43078,78;40997,39;84076,17;4
br-p-dou-francisco-rondinelli-junior;Francisco Rondinelli Júnior;15;65066,82;122426,54;187493,36;4
br-p-dou-enylson-flavio-martinez-camolesi;Enylson Flávio Martinez Camolesi;3;18183,32;15894,32;34077,64;1
br-p-jose-raphael-lopes-mendes-de-azeredo;José Raphael Lopes Mendes de Azeredo;1;888,18;2677,09;3565,27;0
br-p-francisco-ferreira-alexandre;Francisco Ferreira Alexandre;15;6475,25;36838,09;43313,34;0
br-p-luciana-de-sousa-barros;Luciana de Sousa Barros;11;7489,20;21219,33;28708,53;0
br-p-dou-mario-santos-moreira;Mario Santos Moreira;8;0,00;0,00;0,00;8
br-p-dou-thiago-guilherme-ferreira-prado;Thiago Guilherme Ferreira Prado;22;57025,52;120033,62;177059,14;1
br-p-ademar-arthur-chioro-dos-reis;Ademar Arthur Chioro dos Reis;31;51438,50;150143,09;201581,59;0
br-p-robinson-sakiyama-barreirinhas;Robinson Sakiyama Barreirinhas;19;20518,04;77640,13;98158,17;3
br-p-dou-daniel-cardoso-leal;Daniel Cardoso Leal;14;53396,44;86155,17;139551,61;4
br-p-marcos-sampaio-olsen;Marcos Sampaio Olsen;18;58025,00;206381,60;264406,60;2
br-p-tomas-miguel-mine-ribeiro-paiva;Tomás Miguel Miné Ribeiro Paiva;17;49577,35;86278,09;135855,44;2
br-p-marcelo-kanitz-damasceno;Marcelo Kanitz Damasceno;16;12600,00;72220,50;84820,50;4
br-p-ronald-da-silva-balbe;Ronald da Silva Balbe;5;23794,04;15604,84;39398,88;1
br-p-livia-oliveira-sobota;Livia Oliveira Sobota;3;21857,32;27193,30;49050,62;2
br-p-marcelo-pontes-vianna;Marcelo Pontes Vianna;6;35717,38;17698,56;53415,94;3
br-p-cleber-oliveira-soares;Cleber Oliveira Soares;22;85037,07;354317,72;439354,79;6
br-p-augusto-luis-billi;Augusto Luis Billi;10;66997,21;114301,63;181298,84;5
br-p-carlos-goulart;Carlos Goulart;19;88661,24;304905,88;393567,12;6
br-p-guilherme-campos-junior;Guilherme Campos Júnior;30;45532,99;130871,27;176404,26;2
br-p-luis-manuel-rebelo-fernandes;Luis Manuel Rebelo Fernandes;33;10608,20;228278,07;238886,27;1
br-p-henrique-de-oliveira-miguel;Henrique de Oliveira Miguel;10;27156,49;42414,07;69570,56;1
br-p-andrea-brito-latge;Andrea Brito Latgé;18;32596,11;77663,64;110259,75;2
br-p-marcio-tavares-dos-santos;Márcio Tavares Dos Santos;17;63632,61;216208,90;279841,51;3
br-p-roberta-cristina-martins;Roberta Cristina Martins;21;40939,78;147968,33;188908,11;0
